35,8500,-58,63,5,10750,16425,-29718,15,0,0,8975,20039,-29242
36,8750,-29,58,9,8520,18027,-29340,-59,0,0,6703,21675,-28633
37,9000,0,55,13,6235,19524,-28792,-133,0,0,4390,23178,-27849
38,9250,30,51,19,3914,20917,-28061,-205,0,0,2049,24539,-26892
39,9500,59,48,24,1572,22196,-27147,-276,0,0,-303,25751,-25770
40,9750,87,43,29,-778,23346,-26056,-346,0,0,-2653,26805,-24488
41,10000,87,43,29,-778,23346,-26056,-346,0,0,-2653,26805,-24488
42,10000,116,38,34,-3123,24352,-24800,-414,0,0,-4987,27693,-23054
43,10000,116,38,34,-3123,24352,-24800,-414,0,0,-4987,27693,-23054
44,10000,116,38,34,-3123,24352,-24800,-414,0,0,-4987,27693,-23054
45,10250,151,2,41,-5479,25495,-23364,-501,147,0,-7265,28242,-21485
46,10500,186,-32,45,-7765,26377,-21742,-580,150,0,-9534,28975,-19773
47,10750,218,-63,47,-9984,26881,-20010,-654,192,0,-11738,29309,-17939
48,11000,249,-87,48,-12159,27128,-18217,-723,234,0,-13863,29466,-15996
49,11250,276,-107,51,-14279,27220,-16351,-785,268,0,-15906,29465,-13959
50,11500,301,-121,53,-16312,27178,-14383,-840,290,0,-17853,29293,-11837
51,11750,323,-132,56,-18237,26988,-12308,-887,301,0,-19691,28942,-9640
52,12000,342,-137,59,-20041,26633,-10140,-926,300,0,-21406,28412,-7382
53,12250,358,-138,61,-21720,26111,-7902,-957,288,0,-22989,27706,-5078
54,12500,371,-134,63,-23267,25425,-5617,-981,264,0,-24430,26828,-2743
55,12750,380,-126,64,-24673,24581,-3300,-996,230,0,-25721,25785,-391
56,13000,387,-113,64,-25927,23585,-968,-1003,185,0,-26853,24583,1964
57,13250,390,-96,65,-27021,22444,1369,-1002,131,0,-27820,23229,4305
58,13500,390,-75,65,-27949,21165,3697,-992,67,0,-28615,21732,6621
59,13750,387,-49,64,-28703,19756,6004,-974,-6,0,-29233,20101,8895
60,14000,380,-20,63,-29281,18225,8274,-949,-87,0,-29672,18346,11115
61,14250,371,12,62,-29678,16582,10494,-915,-176,0,-29927,16478,13267
62,14500,358,48,60,-29891,14836,12649,-873,-271,0,-29998,14508,15336
63,14750,342,87,58,-29921,12999,14726,-825,-373,0,-29884,12449,17312
64,15000,323,128,56,-29766,11082,16712,-769,-481,0,-29586,10313,19180
65,15250,302,172,53,-29428,9096,18594,-706,-593,0,-29106,8113,20930
66,15500,278,218,50,-28908,7054,20362,-637,-709,0,-28446,5864,22551
67,15750,251,266,47,-28209,4969,22005,-563,-829,0,-27610,3578,24034
